[step],(mean) curr-fish-count,(mean) curr-shark-count,(mean) curr-food-count,,,,
239,230.3333333,101.3333333,48.33333333,,,,
240,237,102.6666667,46.33333333,,,,
241,242.6666667,105.6666667,45.66666667,,,,
242,243,110,44.33333333,,,,
243,242.3333333,111,43.66666667,,,,
244,247,115.3333333,42.66666667,,,,
245,245.6666667,119.3333333,40,,,,
246,249.3333333,123.3333333,39.33333333,,,,
247,252,126.6666667,39,,,,
248,257,129,39.33333333,,,,
249,264.6666667,131.3333333,38.66666667,,,,
250,271.6666667,130.3333333,37.33333333,,,,
251,272.3333333,135.3333333,35.33333333,,,,
252,271.3333333,133.6666667,32.66666667,,,,
253,273.6666667,138,33.33333333,,,,
254,280,141.6666667,33.66666667,,,,
255,284.6666667,144.3333333,33,,,,
256,292.3333333,148,34,,,,
257,297,152.6666667,32.33333333,,,,
258,301.3333333,154,32,,,,
259,306.6666667,156,32.33333333,,,,
260,311.3333333,159.6666667,32.66666667,,,,
261,312.6666667,161.6666667,32.33333333,,,,
262,317.6666667,166,32.33333333,,,,
263,317,170.3333333,32.33333333,,,,
264,318.3333333,175,31.33333333,,,,
265,318.6666667,180,29.66666667,,,,
266,320.6666667,179.3333333,29,,,,
267,329.6666667,186.3333333,30.33333333,,,,
268,337.6666667,187.3333333,30,,,,
269,341.6666667,187.6666667,29.66666667,,,,
270,345.6666667,190,31,,,,
271,356.3333333,192.6666667,30,,,,
272,359,194,29.66666667,,,,
273,369.6666667,200.3333333,30,,,,
274,375.6666667,201.3333333,29.33333333,,,,
275,382.6666667,204.3333333,30.33333333,,,,
276,388.3333333,205.6666667,29.33333333,,,,
277,394.3333333,206.6666667,29.33333333,,,,
278,401,208,28.33333333,,,,
279,405.3333333,207,27.66666667,,,,
280,410,209.3333333,29,,,,
281,415,212.6666667,30,,,,
282,420.6666667,214,30.66666667,,,,
283,423,213.6666667,31.33333333,,,,
284,432.3333333,220.3333333,30,,,,
285,433.3333333,221.3333333,31.33333333,,,,
286,440.6666667,225,30.33333333,,,,
