[step],(mean) curr-fish-count,(mean) curr-shark-count,(mean) curr-food-count
326,128.875,4,80
327,128.625,4.125,79
328,128.75,4.125,79.125
329,130.5,4.25,79.75
330,132.25,4.25,78.75
331,132.125,4.125,78.25
332,132.25,4.125,77.75
333,132.25,4.25,74.875
334,133.875,4.25,74
335,134.875,4.125,72.875
336,135.75,4.125,72.625
337,137.25,4.125,72.375
338,137.875,4.125,72.125
339,139.375,4.125,70.75
340,140.75,4.125,69.875
341,141.375,4.125,68.875
342,143.625,4.125,68.5
343,144.875,4,68.25
344,146.75,4,68
345,147.5,4,66.5
346,147.625,4.125,66
347,148.25,4,65
348,148.375,3.875,65.125
349,151.125,3.875,63
350,153.75,3.875,62.25
351,155.25,3.875,61.625
352,156.375,3.75,61.375
353,156.625,3.625,61.125
354,158.75,3.5,61.375
355,161.625,3.5,61.25
356,163.625,3.5,61.625
357,164.125,3.5,60.5
358,165.125,3.625,59.875
359,166.75,3.5,59.25
360,167.875,3.5,58.625
361,170.125,3.5,58.625
362,170.875,3.375,57.5
363,170.625,3.375,58.25
364,171.75,3.375,57.25
365,173.375,3.5,56.375
366,174.875,3.5,54.5
367,176.5,3.625,55.375
368,176.625,3.5,53.875
369,178.75,3.5,52.125
370,180.25,3.375,52.625
371,181.25,3.375,52.5
372,184,3.375,52.125
373,185.875,3.375,50.875
374,187.875,3.375,48.875
375,190.375,3.5,49.75
376,191.25,3.5,47.75
377,193.25,3.5,46.375
378,195,3.5,45.375
379,194.625,3.5,45.125
380,196,3.5,44.625
381,196.5,3.375,42.875
382,197.75,3.25,41.625
383,198.625,3.375,40.75
384,199.125,3.375,41
385,199.75,3.5,40.375
386,201,3.625,40
387,202.75,3.625,40.25
388,202.5,3.75,40.25
389,204,3.75,39.25
390,206.5,3.75,38.25
391,209,3.75,37.625
392,211.25,3.75,37.125
393,211.875,3.625,37.25
394,212.5,3.625,37
395,213.5,3.625,36.25
396,215.375,3.625,35.875
397,215.875,3.625,35.375
398,217.75,3.5,36
399,219.125,3.5,35.375
400,219.25,3.5,35.25
401,220.25,3.625,34
402,222.5,3.625,33.875
403,222.5,3.625,34
404,223,3.625,34.125
405,225.125,3.75,33
406,228.875,3.75,31.25
407,232.75,3.75,31.625
408,234,3.875,30.75
409,235,3.875,31
410,235.75,3.75,30.875
411,237.25,3.75,31
412,240.375,3.875,30.5
413,241.5,3.875,29.25
414,243,3.875,30
