[step],(mean) curr-fish-count,(mean) curr-shark-count,(mean) curr-food-count,,,,
339,318.625,550.625,52.125,,,,
340,320.75,553.375,54.25,,,,
341,327.25,554.25,55.125,,,,
342,331,552.5,55.125,,,,
343,334.5,551.5,55.75,,,,
344,338.5,554.625,56.5,,,,
345,345.375,553.875,57.625,,,,
346,353,553.25,58.375,,,,
347,356.75,557.125,59.75,,,,
348,358,559.375,60.5,,,,
349,363.375,556.875,62,,,,
350,364.625,558.375,62.25,,,,
351,366.625,560.125,64,,,,
352,370.125,558.625,64.625,,,,
353,371.5,559.625,64.5,,,,
354,370.125,558,65.625,,,,
355,372.5,557.25,66.25,,,,
356,373.75,550.625,67,,,,
357,376.125,548.875,68.125,,,,
358,377.25,546.875,68.25,,,,
359,379.75,544.25,69.5,,,,
360,377.25,543.25,69.875,,,,
361,372.875,541.125,71.125,,,,
362,371.5,535.25,72.25,,,,
363,368,528.25,73.625,,,,
364,365.75,524,74.875,,,,
365,361.75,518,75.75,,,,
366,357.125,516.25,75.875,,,,
367,354.625,509.375,76.625,,,,
368,351.875,504.625,77,,,,
369,345.875,499.375,77.75,,,,
370,340.25,499.375,77.75,,,,
371,334.25,501.75,78.75,,,,
372,326.5,499,79.625,,,,
373,318.125,494.25,81.125,,,,
374,313.375,492.25,81.75,,,,
375,309.375,485.875,82.5,,,,
376,304.75,485.625,82.375,,,,
377,299.875,485.5,83.5,,,,
378,297.875,488.875,84.125,,,,
379,290.375,491.125,84.75,,,,
380,283.875,490.5,84.625,,,,
381,275.375,487.25,86.125,,,,
382,266,487.375,86.875,,,,
383,257.25,487.125,87.5,,,,
384,249.625,489.625,87.875,,,,
385,238.625,487.25,89.625,,,,
386,226.125,484.125,89.625,,,,
387,217.75,483.375,90,,,,
388,209,488.25,90.25,,,,
389,200.125,488.625,91.5,,,,
390,188.25,487.625,92.125,,,,
391,175.25,486.75,93.625,,,,
392,164.25,482.5,94.25,,,,
393,152,479.5,95,,,,
394,139.625,476.75,97,,,,
395,129.125,474.375,98.875,,,,
396,118.375,477.25,99.875,,,,
397,106.625,482.125,100.375,,,,
398,93.25,483.875,101.875,,,,
399,81.875,483.875,103.375,,,,
400,70.25,486,104.125,,,,
401,58.75,485.875,104.75,,,,
402,49.375,485.125,106,,,,
403,40.25,481.375,107.25,,,,
404,32.125,480.625,108.25,,,,
405,25.625,482.875,108.875,,,,
