[step],(mean) curr-fish-count,(mean) curr-shark-count,(mean) curr-food-count,,
313,142.75,753.5,45.25,,
314,113,766.75,46,,
315,85.75,779.5,46,,
316,64.75,790.25,47.25,,
317,47.75,803.5,47.75,,
318,34.25,820.25,49.5,,
319,23.75,831.25,50.75,,
320,15,836,53,,
321,9.5,842,53.75,,
322,6.25,852.5,55.25,,
323,4.25,854.5,55.25,,
324,4.5,862.75,57.5,,
325,6.333333333,315.3333333,64.66666667,,
326,5.333333333,315,64.66666667,,
327,4.333333333,315.3333333,64.66666667,,
328,3.333333333,316.3333333,65.33333333,,
329,2,312.3333333,66.33333333,,
330,5,156,95,,
331,4,155,95,,
332,4,148,98,,
333,5,148,100,,
334,4,148,99,,
335,3,141,98,,
336,2,141,101,,
337,2,137,104,,
338,2,131,107,,
339,2,134,107,,
340,1,131,107,,
341,1,126,107,,
342,1,125,110,,
343,1,122,112,,
344,1,124,115,,
345,1,120,118,,
346,1,115,118,,
347,1,107,118,,
348,1,101,121,,
349,1,97,121,,
350,1,96,121,,
351,1,92,121,,
352,1,88,124,,
353,1,88,127,,
354,1,84,127,,
355,1,79,130,,
356,1,77,130,,
357,1,73,130,,
358,1,69,130,,
359,1,64,132,,
360,1,59,132,,
361,0,59,135,,
